               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.031302,            0.004841,           0.0027403,             0.97106,                   1,               0.995,               0.796,            0.022318,           0.0055876,           0.0012934,             0.00727,             0.00727,             0.00727
                  93,             0.03165,           0.0048273,           0.0028931,             0.97134,                   1,               0.995,               0.796,            0.024046,           0.0052498,           0.0011197,             0.00724,             0.00724,             0.00724
                  94,            0.030616,            0.005302,           0.0024866,             0.97188,                   1,               0.995,               0.796,            0.025731,            0.005139,           0.0011559,             0.00721,             0.00721,             0.00721
                  95,            0.029315,           0.0055635,           0.0024386,             0.97186,                   1,               0.995,               0.597,            0.021778,           0.0055876,           0.0014367,             0.00718,             0.00718,             0.00718
                  96,            0.030491,           0.0052102,           0.0026131,             0.97139,                   1,               0.995,               0.597,            0.027676,           0.0052711,           0.0015669,             0.00715,             0.00715,             0.00715
                  97,            0.028701,           0.0052394,           0.0022628,             0.96947,                   1,               0.995,               0.796,            0.017728,           0.0055929,           0.0016825,             0.00712,             0.00712,             0.00712
                  98,            0.028073,           0.0062294,           0.0027488,             0.96975,                   1,               0.995,               0.597,            0.023803,           0.0053032,            0.001442,             0.00709,             0.00709,             0.00709
                  99,            0.028663,           0.0055724,           0.0024091,             0.96857,                   1,               0.995,               0.597,            0.024331,           0.0052031,           0.0014406,             0.00706,             0.00706,             0.00706
                 100,            0.028984,           0.0048968,           0.0024399,             0.96931,                   1,               0.995,              0.6965,            0.021672,           0.0053019,           0.0014138,             0.00703,             0.00703,             0.00703
                 101,            0.029694,           0.0052746,           0.0025573,             0.96838,                   1,               0.995,               0.597,            0.024709,           0.0051884,           0.0011108,               0.007,               0.007,               0.007
                 102,            0.027515,            0.005141,           0.0021896,             0.96667,                   1,               0.995,              0.6965,            0.027267,           0.0051136,          0.00086987,             0.00697,             0.00697,             0.00697
                 103,             0.02893,           0.0053912,           0.0030364,             0.96827,                   1,               0.995,              0.6965,            0.027632,            0.004936,          0.00095627,             0.00694,             0.00694,             0.00694
                 104,            0.029418,           0.0054281,            0.002387,             0.96757,                   1,               0.995,               0.796,             0.02031,           0.0051717,           0.0010577,             0.00691,             0.00691,             0.00691
                 105,            0.029326,           0.0049039,           0.0023164,             0.96683,                   1,               0.995,               0.796,            0.024045,           0.0051804,           0.0011774,             0.00688,             0.00688,             0.00688
                 106,            0.029188,           0.0051922,           0.0024643,             0.96881,                   1,               0.995,              0.6965,               0.021,           0.0051764,           0.0011177,             0.00685,             0.00685,             0.00685
                 107,            0.028789,           0.0050407,           0.0021493,             0.96894,                   1,               0.995,              0.8955,             0.01801,           0.0051824,           0.0011197,             0.00682,             0.00682,             0.00682
                 108,            0.028004,           0.0052194,           0.0018475,             0.96885,                   1,               0.995,              0.6965,            0.021109,           0.0051537,           0.0010593,             0.00679,             0.00679,             0.00679
                 109,            0.028719,           0.0057666,           0.0022278,             0.97079,                   1,               0.995,               0.796,            0.019141,           0.0050335,          0.00088737,             0.00676,             0.00676,             0.00676
